config_id,p_n_estimators,p_learning_rate,p_num_leaves,p_min_child_samples,p_subsample,p_colsample_bytree,p_reg_lambda,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
38,600,0.03,15,50,0.8,0.8,0.0,0.02396297606744427,0.006177128412812925,0.015973377388449166,0.0025818431174639777,-0.00818162855179047,0.015675282172531065,1.0047218030393088,0.89073236107304,52.213431786216596,1.7310075422972981
43,600,0.03,31,20,0.8,0.8,5.0,0.023965967951437607,0.006250860198582768,0.015969090763967977,0.002633841571030773,-0.006604877372589246,0.0031078287832157266,1.0060416500183347,0.8952820004168508,50.88351873162,2.164857197901487
24,600,0.03,4,20,0.8,0.8,0.0,0.023967683313611605,0.006271668672083442,0.01595904121749847,0.0026318768238000733,-0.006339356124076045,0.0036199764835259138,1.008546364242088,0.8998302538517786,49.495109321058685,1.1675890838797707
30,600,0.03,8,20,0.8,0.8,0.0,0.023968218182602394,0.006225002853637702,0.01597380600031302,0.002632316627905713,-0.007298844851568953,0.004368019098784537,1.005756168109915,0.8939788670157123,50.63243191407748,1.1477180784214842
39,600,0.03,15,50,0.8,0.8,5.0,0.02397303369820922,0.006167036871498287,0.015983212285431675,0.002574900922849195,-0.009311389781563068,0.01619787377186011,1.0050414516030313,0.890012607674055,52.4646784298683,1.321463872674042
10,600,0.01,8,100,0.8,0.8,0.0,0.023974861304850537,0.006149347790249837,0.015940269333893104,0.0026159551870241645,-0.009858755230695487,0.014919920176571802,1.0045035953451404,0.8891083066429608,53.60024293568597,2.56223988613022
11,600,0.01,8,100,0.8,0.8,5.0,0.02397490964625016,0.006150061075515063,0.015948370561747756,0.0026083960773528804,-0.009846790232206387,0.014974828649635202,1.0044156291921211,0.8891193619357293,53.22161488300729,2.1086367992870714
18,600,0.01,31,20,0.8,0.8,0.0,0.023979486428510874,0.00629016134397195,0.01596863985087612,0.0026513762494862684,-0.007023668588332255,0.0049200259276645205,1.0083755380542532,0.8992357261004744,50.69588287942718,0.6953606974551799
23,600,0.01,31,100,0.8,0.8,5.0,0.02397985036619829,0.006141424873309551,0.015957543053183674,0.0025933801591612707,-0.01050453813606303,0.016313393943932226,1.0045742375562816,0.8889564723101522,53.2847461961386,2.5508122050121025
17,600,0.01,15,100,0.8,0.8,5.0,0.02397985036619829,0.006141424873309551,0.015957543053183674,0.0025933801591612707,-0.01050453813606303,0.016313393943932226,1.0045742375562816,0.8889564723101522,53.2847461961386,2.5508122050121025
13,600,0.01,15,20,0.8,0.8,5.0,0.023979873458095345,0.00622536592654587,0.015988426326000532,0.00259337654324501,-0.008500554947477423,0.006344096207429453,1.006460792685232,0.8939678294971172,50.821825853471424,2.5070972321076552
36,600,0.03,15,20,0.8,0.8,0.0,0.023985133891595282,0.006268704277773728,0.015970865156881113,0.0026258582260245814,-0.007962856807523455,0.004222787400472535,1.0091294448553976,0.9001604837521305,50.44175936581,2.58854382238496
41,600,0.03,15,100,0.8,0.8,5.0,0.024007931156764105,0.006103686371097734,0.01597287906248777,0.0025629021003423795,-0.013999150838337832,0.022491508301012025,1.0056254890051037,0.8887569311065467,52.5258918296893,2.6624495477403265
47,600,0.03,31,100,0.8,0.8,5.0,0.024007931156764105,0.006103686371097734,0.01597287906248777,0.0025629021003423795,-0.013999150838337832,0.022491508301012025,1.0056254890051037,0.8887569311065467,52.5258918296893,2.6624495477403265
42,600,0.03,31,20,0.8,0.8,0.0,0.024015570789148278,0.006260406482519827,0.016006711744557242,0.002626021057875675,-0.010917933925462253,0.005745604368453759,1.0087568610960178,0.8982245972815923,51.137322593018794,1.6829430356505364
22,600,0.01,31,100,0.8,0.8,0.0,0.02402318880014548,0.0060990560643679305,0.01598554582225744,0.002558266970093422,-0.01555602860523117,0.02489829681261983,1.005631509049268,0.8883738352221177,53.41084899629203,2.6608037816042476
16,600,0.01,15,100,0.8,0.8,0.0,0.02402318880014548,0.0060990560643679305,0.01598554582225744,0.002558266970093422,-0.01555602860523117,0.02489829681261983,1.005631509049268,0.8883738352221177,53.41084899629203,2.6608037816042476
34,600,0.03,8,100,0.8,0.8,0.0,0.02402556665514987,0.006101155619949477,0.015991241510449106,0.0025448026746013935,-0.015708259274787445,0.024387475539792737,1.0062557926179487,0.8891561222915509,52.588863316711425,2.756120004197151
46,600,0.03,31,100,0.8,0.8,0.0,0.024026568881279194,0.00611934895471703,0.015987348494982262,0.002585881975292712,-0.015383209652263502,0.022759926679644504,1.007106457752893,0.8912284711828601,51.45249968034778,1.609788946637565
40,600,0.03,15,100,0.8,0.8,0.0,0.024026568881279194,0.00611934895471703,0.015987348494982262,0.002585881975292712,-0.015383209652263502,0.022759926679644504,1.007106457752893,0.8912284711828601,51.45249968034778,1.609788946637565
35,600,0.03,8,100,0.8,0.8,5.0,0.02404790993401734,0.006075184256893726,0.01600807959275534,0.002524685152322594,-0.018448842653211645,0.02958142837696842,1.006834648569868,0.8887560549158878,52.90467970847718,2.689169672935548
